Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 23:1208","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-23-sect-1208.html","Forfeit employee compensation benefits rights","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Social Security, SSI, unemployment & disability benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 23:252","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-23-sect-252.html","Revoke theatrical performances/exhibition license","1","All","Additional offense details:
La. R.S. 23:251

Other triggering offenses:
Offenses related to employing a minor under sixteen years of age","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Entertainment, athletics, news & broadcasting","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 24:936","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-24-sect-936.html","Name entered in registry of all cases of convictions of criminal sex offenses against children","1","(B)","Additional offense details:
La. R.S. 24:932(3)(a)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 26:800","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-26-sect-800.html","Background check for alcoholic beverage permit","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 26:805","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-26-sect-805.html","Terminate beer wholesaler/supplier agreement (conviction of wholesaler/partner/stockholder)","1","(E)(3)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Discretionary","Indefinite"
"La. R.S. 27:2","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-27-sect-2.html","Withhold past-due child support from gaming winnings","1","(C)","Additional offense details:
La. R.S. 14:75","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 27:24","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-27-sect-24.html","Withhold past-due child support from progressive slot machine/cash gaming winnings","1","(A)(5)","Additional offense details:
La. R.S. 14:75","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 28:57","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-28-sect-57.html","Background check for removal of handgun ownership prohibition","1","(A)
(E)(2)","See also:
18 U.S.C.§ 922(d)(4)
18 U.S.C.§ 922(g)(4)
La. R.S. 40:1379.3(C)(13)(g)(4)
La. R.S. 40:1379.3(C)(13)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 3:2267","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-3-sect-2267.html","Impose civil liability for damages caused by criminal violation of tuberculosis control/eradication/quarantine laws","1","All","Additional offense details:
La. R.S. 3:2261 et seq.

Other triggering offenses:
Offenses related to tuberculosis control and eradication
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 3:2354","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-3-sect-2354.html","Impose civil liability for damages caused to persons injured by violation of eradication/control of fire ants law","1","All","Additional offense details:
La. R.S. 3:2351 et seq.

Other triggering offenses:
Offenses related to eradication and control of the imported fire ant
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 3:4214","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-3-sect-4214.html","Remove from employment as meat/poultry inspector/deputy inspector/chief inspector/other officer/employee","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Agriculture, livestock & food","Public corruption offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 3:559.9","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-3-sect-559-9.html","Impose liability to reimburse investigation cost","1","(A), (C)","Additional offense details:
La. R.S. 3:559.13

Other triggering offenses:
Offenses related to aquacultural development
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 30:2014.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-30-sect-2014-1.html","Ineligible for employment reviewing/issuing environment quality permit/license/registration/variance","1","(D)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Conservation, environmental sciences & water","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 30:2418","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-30-sect-2418.html","Ineligible to participate in Waste Tire Management Fund program","","(M)(2)(c)","See also:
La. R.S. 30:2412(23)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Conservation, environmental sciences & water","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"La. R.S. 32:1477","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-1477.html","Forfeit restricted driver's license license (habitual offenders)","1","(B)(3)
(C)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 32:415.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-415-1.html","Obtain restricted license after license suspension (relief)","0","(A)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 32:415.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-415-1.html","Extend driver's license suspension (violating license restrictions)","1","(C)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 32:427","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-427.html","Impose civil penalty (commercial driver's license violations)","1","(A)
(B)(3)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 32:708.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-708-1.html","Forfeit motor vehicle title for past-due child support","1","(A), (D)","Additional offense details:
La. R.S. 14:75","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Child Support offenses","Discretionary","Indefinite"
